,Event,FP1,FP2,F3,F4,F7,F8,C3,C4,P3,P4,O1,O2,T3,T4,T5,T6,FZ,CZ,PZ
455,0,15.5,10.0,8.7,15.7,6.3,-3.4,3.3,-9.2,1.1,-4.1,9.4,-5.4,3.1,-4.5,1.9,22.5,6.2,12.1,112.8
456,0,13.9,10.2,7.1,15.8,2.5,-1.7,2.8,-7.7,3.3,-3.1,12.1,-5.1,2.6,-3.2,1.9,23.0,6.1,13.0,113.5
457,0,13.7,10.4,7.5,16.7,4.5,1.0,3.7,-5.8,4.7,-0.1,8.4,3.4,4.4,-1.0,0.9,26.7,7.2,14.3,115.3
458,0,14.7,10.4,8.5,18.6,9.0,2.4,6.0,-4.3,5.5,3.8,2.9,11.5,7.4,1.4,1.3,30.6,9.4,16.0,118.3
459,0,15.6,10.7,6.9,19.4,8.4,0.9,7.5,-4.4,5.1,4.7,0.7,8.2,8.4,1.4,3.2,30.5,10.5,16.5,119.8
460,0,14.4,10.2,3.0,16.4,3.8,-3.0,6.5,-6.6,3.4,1.8,0.6,0.1,7.1,-1.4,4.7,26.6,8.5,14.0,118.6
461,0,12.1,9.3,-0.1,11.7,1.0,-5.5,4.9,-9.0,2.4,-1.3,0.6,-2.4,5.7,-3.4,5.9,24.2,5.4,10.5,117.5
462,0,11.6,9.8,-1.0,9.7,-0.1,-4.4,3.6,-10.2,2.4,-2.0,2.3,-1.9,4.2,-2.6,7.0,25.5,3.7,8.9,117.9
463,0,11.7,9.6,-0.9,9.2,-2.6,-2.6,1.2,-11.4,0.7,-2.1,4.9,-2.8,1.1,-1.4,7.3,26.4,1.6,7.3,117.8
464,0,10.2,7.2,-0.6,7.6,-4.4,-2.6,-2.2,-13.6,-2.4,-2.5,4.3,0.2,-1.8,-2.1,7.0,25.1,-1.8,4.2,117.0
465,0,9.3,5.7,-0.7,7.3,-3.4,-2.0,-4.6,-14.5,-3.7,-1.1,2.3,9.3,-2.1,-1.6,7.4,25.4,-3.1,2.8,117.7
466,0,10.3,7.4,-3.3,9.5,-3.7,-0.6,-5.5,-13.0,-3.5,-0.0,1.9,12.1,-1.8,0.8,8.2,26.2,-1.3,4.0,118.9
467,0,10.0,10.0,-7.9,10.1,-6.7,-1.3,-6.1,-13.0,-4.3,-4.4,0.7,-3.0,-2.1,-0.7,9.1,20.0,-0.4,4.0,116.7
468,0,7.3,10.7,-9.7,7.7,-7.2,-3.0,-5.8,-15.3,-4.6,-11.3,-2.3,-21.2,-1.2,-6.0,10.8,9.9,-1.9,2.3,112.5
469,0,5.1,10.1,-7.6,6.4,-3.6,-1.8,-3.7,-15.6,-3.0,-12.1,-2.0,-19.9,0.7,-7.1,12.2,7.9,-2.0,2.2,112.7
470,0,4.8,9.1,-5.5,7.2,-0.3,-0.3,-1.1,-13.6,-1.8,-7.6,3.3,-8.6,1.5,-3.9,12.7,13.6,-0.2,3.8,116.5
471,0,3.9,7.4,-6.4,7.6,0.7,-1.4,0.1,-13.2,-2.6,-5.3,5.2,-11.5,2.4,-2.9,12.6,17.6,-0.1,4.6,117.9
472,0,1.8,6.1,-9.0,7.7,0.5,-2.1,-0.3,-14.8,-4.5,-6.7,-1.1,-21.6,3.6,-4.3,11.5,17.4,-1.9,4.3,115.6
473,0,1.8,7.1,-9.7,9.0,0.1,-0.3,-0.4,-15.5,-5.2,-8.2,-6.2,-16.3,3.9,-4.8,10.6,16.1,-2.1,4.8,114.8
474,0,4.4,9.9,-6.2,11.1,0.5,0.7,1.2,-14.6,-3.4,-8.0,-2.0,-2.2,4.1,-4.7,11.5,14.8,-0.0,6.7,117.4
475,0,5.1,10.4,-2.1,11.6,0.2,-0.3,2.1,-13.9,-2.0,-7.2,3.0,2.2,3.7,-4.4,12.6,14.7,0.1,8.0,119.0
